;;Issue;Datatype;Type;Group;Path;Name/Label;Description;Data Range;Unit
;;;float;Sensor;Reefer;Trailer.Reefer.Service.OperatingHours.StartStop;Reefer unit start/stop operating hours;This parameter indicates the total number of hours the reefer unit start/stop operating hours mode is in.;0 to 16 449 535 ;Hour
;;;float;Sensor;Reefer;Trailer.Reefer.Service.OperatingHours.Engine;Reefer unit diesel engine propulsion system operating hours;This parameter indicates the total number of hours of the reefer unit diesel engine propulsion system operating mode.;0 to 16 449 535 ;Hour
;;;float;Sensor;Reefer;Trailer.Reefer.OperatingHours.LineSupply;Reefer unit line supply operating hours;This parameter indicates the total number of hours of the reefer unit line supply operating mode.;0 to 16 449 535 ;Hour
;;;float;Sensor;Reefer;Trailer.Reefer.OperatingHours.Generator;Reefer unit generator operating hours;This parameter indicates the total number of hours of the reefer unit generator operating mode.;0 to 16 449 535 ;Hour
;;;enum;Sensor;Reefer;Trailer.Reefer.Defrost.Status;Reefer unit defrost cycle on/off;This parameter indicates the on/off status of the reefer unit defrost cycle.;"OFF
ON"; 
;;;enum;Sensor;Cargo;Trailer.Cargo.HoldDoor1.Switch;Cargo hold door 1 contact switch;This parameter indicates the closed/open status of the cargo hold door 1 contact switch.;"CLOSED
OPEN"; 
;;;enum;Sensor;Cargo;Trailer.Cargo.HoldDoor2.Switch;Cargo hold door 2 contact switch;This parameter indicates the closed/open status of the cargo hold door 2 contact switch.;"CLOSED
OPEN"; 
;;;enum;Sensor;Cargo;Trailer.Cargo.HoldDoor3.Switch;Cargo hold door 3 contact switch;This parameter indicates the closed/open status of the cargo hold door 3 contact switch.;"CLOSED
OPEN"; 
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment1.Humidity;Compartment 1 humidity;This parameter indicates the value of the compartment 1 humidity.;0 - 125 ;Percentage
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment2.Humidity;Compartment 2 humidity;This parameter indicates the value of the compartment 2 humidity.;0 - 125 ;Percentage
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment3.Humidity;Compartment 3 humidity;This parameter indicates the value of the compartment 3 humidity.;0 - 125 ;Percentage
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment1.Oxygen;Compartment 1 oxygen concentration;This parameter indicates the value of the compartment 1 oxygen concentration.;0 - 125 ;Percentage
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment2.Oxygen;Compartment 2 oxygen concentration;This parameter indicates the value of the compartment 2 oxygen concentration.;0 - 125 ;Percentage
;;;float;Sensor;Cargo;Trailer.Cargo.Compartment3.Oxygen;Compartment 3 oxygen concentration;This parameter indicates the value of the compartment 3 oxygen concentration.;0 - 125 ;Percentage
;;;enum;Sensor;Cargo;Trailer.Cargo.HRU.Configuration;Heating and refrigerating unit  classes;"HRUs control the temperature of the truck’s, semitrailer’s, or trailer’s cargo space. In case of vehicles
transporting containers with embedded HRUs, the HRUs are connected temporarily.";"GENERIC
CARGO_SPACE_SINGLE_TEMPERATURE
CARGO_SPACE_MULTI_TEMPERATURE
CONTAINER_SPACE_SINGLE_TEMPERATURE
CONTAINER_SPACE_MULTI_TEMPERATURE"; 
;;;uint8;Sensor;HRU;Trailer.HRU.Count;HRU compartment number;This parameter provides the sources of the measured parameters by means of the HRU compartment number;0 to 15;
;;;float;Sensor;Cargo;Trailer.HRU.Compartment1.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
;;;float;Sensor;Cargo;Trailer.HRU.Compartment2.SetPointTemperature;HRU temperature setpoint command;This parameter provides the temperature setpoint for HRU compartments (X = [1..15];-273 to 1734.96875 °C;Celsius
